Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Route 53,0,1001.5,12018.00,USD,Hosted Zones (1)
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,35.1,421.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,473.4,5680.80,USD,"Change records per statement (0.38), (2 instances)  db.r5.large  Memory optimized  OnDemand, Storage amount (500 GB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,4601,55212.00,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Instance type (c5n.9xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,4527.6,54331.20,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (r5.8xlarge)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,616.85,7402.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,35.1,421.20,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),Elastic Load Balancing,0,616.85,7402.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),Amazon EC2,0,2673.4,32080.80,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (r5.4xlarge)"
My Estimate,US East (Ohio),Amazon EC2,0,2612.48,31349.76,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Instance type (c5n.4xlarge)"
My Estimate,US East (Ohio),Amazon Aurora MySQL-Compatible,0,473.4,5680.80,USD,"Change records per statement (0.38), (2 instances)  db.r5.large  Memory optimized  OnDemand, Storage amount (500 GB)"
My Estimate,US East (N. Virginia),S3 Standard,0,11.6,139.20,USD,S3 Standard storage (500 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,Data Transfer
My Estimate,US East (Ohio),Amazon Route 53,0,1001.5,12018.00,USD,Hosted Zones (1)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

What was updated:  I reduced the size of the EC2 instances and added duplicates of everything except S3 to Ohio.  S3 instances are global so it wasn't necessary.  The idea is that the Ohio region would be actual
backup site until the Primary site came back online.
