Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Route 53,0,1001.5,12018.00,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),S3 Standard,0,460,5520.00,USD,S3 Standard storage (20000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,35.1,421.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,473.4,5680.80,USD,"Change records per statement (0.38), (2 instances)  db.r5.large  Memory optimized  OnDemand, Storage amount (500 GB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,3945.64,47347.68,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (Throughput Optimized HDD (st1)), Storage amount (2 TB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,2673.4,32080.80,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (2 TB)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,616.85,7402.20,USD,Number of Application Load Balancers (2)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
